J_Value,Count
0.5,23
0.6,1087
0.7,11559
0.8,19786
0.9,48515
1.0,14284
1.1,12099
1.2,9304
1.3,15721
1.4,15945
1.5,17288
1.6,18612
1.7,10295
1.8,12874
1.9,8815
2.0,12669
2.1,17583
2.2,23580
2.3,4108
2.4,6848
2.5,5687
2.6,5564
2.7,3624
2.8,3648
2.9,4976
3.0,3021
3.1,5701
3.2,3192
3.3,5679
3.4,3398
3.5,7717
3.6,5055
3.7,6575
3.8,7739
3.9,6807
4.0,8853
4.1,4858
4.2,9139
4.3,4857
4.4,8548
4.5,5478
4.6,9981
4.7,7046
4.8,13357
4.9,9075
5.0,9565
5.1,11718
5.2,6750
5.3,12256
5.4,6008
5.5,13327
5.6,7979
5.7,15372
5.8,9543
5.9,11996
6.0,16040
6.1,8081
6.2,15008
6.3,9985
6.4,16379
6.5,7702
6.6,15190
6.7,7384
6.8,11891
6.9,6391
7.0,13629
7.1,11596
7.2,9014
7.3,11875
7.4,6603
7.5,13587
7.6,7255
7.7,13380
7.8,8590
7.9,12678
8.0,8296
8.1,12730
8.2,13133
8.3,5978
8.4,9825
8.5,4681
8.6,8281
8.7,3756
8.8,6474
8.9,2809
9.0,4086
9.1,1884
9.2,3064
9.3,2165
9.4,836
9.5,1331
9.6,581
9.7,1413
9.8,569
9.9,1438
10.0,556
10.1,2449
10.2,2260
10.3,1050
10.4,1358
10.5,502
10.6,1419
10.7,567
10.8,2211
10.9,771
11.0,2671
11.1,921
11.2,2954
11.3,2749
11.4,2073
11.5,2844
11.6,1094
11.7,2674
11.8,971
11.9,2989
12.0,897
12.1,6207
12.2,1785
12.3,2700
12.4,2554
12.5,982
12.6,2876
12.7,965
12.8,3252
12.9,863
13.0,3341
13.1,939
13.2,3187
13.3,1173
13.4,3405
13.5,1312
13.6,2796
13.7,2907
13.8,1050
13.9,3117
14.0,778
14.1,3121
14.2,766
14.3,2216
14.4,665
14.5,1824
14.6,916
14.7,1635
14.8,1970
14.9,436
15.0,1605
15.1,382
15.2,1531
15.3,388
15.4,1289
15.5,260
15.6,1201
15.7,470
15.8,945
15.9,1139
16.0,308
16.1,1490
16.2,513
16.3,1684
16.4,394
16.5,1421
16.6,421
16.7,1038
16.8,583
16.9,1109
17.0,1239
17.1,266
17.2,837
17.3,228
17.4,290
17.5,79
17.6,184
17.7,47
17.8,224
17.9,132
18.0,18
18.1,51
18.2,13
18.3,33
18.4,9
18.5,41
18.6,17
18.7,29
18.8,18
18.9,38
19.0,12
19.1,27
19.2,31
19.3,10
19.4,17
19.5,10
19.6,23
19.7,7
19.8,19
19.9,12
20.0,17
20.1,21
20.2,6
20.3,26
20.4,5
20.5,19
20.6,4
20.7,12
20.8,7
20.9,21
21.0,10
21.1,17
21.2,40
21.3,2
21.4,10
21.5,9
21.6,16
21.7,4
21.8,17
21.9,8
22.0,11
22.1,34
22.2,32
22.3,9
22.4,7
22.5,14
22.6,5
22.7,10
22.8,3
22.9,10
23.0,3
23.1,45
23.2,8
23.3,15
23.4,28
23.5,4
23.6,6
23.7,2
23.8,4
23.9,1
24.0,3
24.1,7
24.2,5
24.3,3
24.4,5
24.5,4
24.6,6
24.7,7
24.9,1
25.0,4
25.1,8
25.2,2
25.3,5
25.4,37
25.5,3
25.6,4
25.7,1
25.8,10
25.9,1
26.0,7
26.1,3
26.2,3
26.3,1
26.4,5
26.5,4
26.6,3
26.7,3
26.8,1
26.9,3
27.0,6
27.1,1
27.2,1
27.3,4
27.4,1
27.6,1
27.7,1
27.8,6
27.9,2
28.0,1
28.1,1
28.2,3
28.3,1
28.4,5
28.6,12
28.8,1
28.9,2
29.0,3
29.1,3
29.2,1
29.3,2
29.4,1
29.6,1
29.9,1
30.0,1
30.1,1
30.3,15
30.6,2
30.7,1
30.8,3
30.9,6
31.0,1
31.1,2
31.2,2
31.3,1
31.5,1
31.7,1
31.9,1
32.2,1
32.7,1
33.0,4
33.3,2
33.6,1
33.7,2
33.9,1
34.0,1
34.1,1
34.6,1
35.0,1
35.1,1
35.4,1
35.5,1
36.1,1
36.4,1
36.5,1
36.8,1
37.2,2
37.3,1
37.6,1
37.9,1
38.1,1
38.5,1
38.8,2
39.5,1
40.3,1
40.6,1
40.8,3
40.9,1
41.4,1
41.5,2
42.1,2
42.5,1
42.9,1
43.2,1
44.6,1
44.7,1
45.0,1
46.7,1
48.0,1
53.5,1
53.6,1
56.4,1
57.1,1
57.3,1
58.4,2
58.6,1
